2025-05-20 12:22:48Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 12:24:16Z | admin | Update | Form | ID: 3 | Entidad actualizada
2025-05-20 12:24:23Z | admin | GetById | Form | ID: 3 | Sin detalles
2025-05-20 12:26:57Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 12:27:01Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 12:27:02Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 12:27:03Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 12:27:04Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 12:27:05Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 12:27:06Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 12:27:08Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 12:27:51Z | admin | Update | Form | ID: 4 | Entidad actualizada
2025-05-20 12:27:51Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 12:28:20Z | admin | Update | Form | ID: 4 | Entidad actualizada
2025-05-20 12:28:20Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 12:28:32Z | admin | Logical Delete | Form | ID: 5 | Sin detalles
2025-05-20 12:28:32Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 12:28:37Z | admin | Recover | Form | ID: 5 | Sin detalles
2025-05-20 12:28:37Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 13:56:35Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 13:56:42Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 13:56:44Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 13:56:46Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 13:56:47Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 13:56:49Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 13:56:50Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 13:56:51Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 13:57:12Z | admin | Update | Form | ID: 1 | Entidad actualizada
2025-05-20 13:57:12Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 13:57:16Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 13:57:21Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 13:57:47Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 13:57:53Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 13:58:40Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:02:40Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:02:43Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:02:44Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:02:45Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:03:06Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:03:06Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:03:22Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:03:43Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 14:03:44Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:03:51Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:03:54Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:04:03Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:04:08Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:04:30Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 14:04:31Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:04:34Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:04:46Z | admin | GetAll | Module | ID: 0 | Sin detalles
2025-05-20 14:04:48Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 14:05:08Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 14:05:09Z | admin | GetAll | Permission | ID: 0 | Sin detalles
2025-05-20 14:05:17Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 14:06:07Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 14:06:29Z | admin | GetAll | Person | ID: 0 | Sin detalles
2025-05-20 14:07:08Z | admin | GetAll | rol | ID: 0 | Sin detalles
2025-05-20 14:07:39Z | admin | GetAll | Form | ID: 0 | Sin detalles
2025-05-20 14:07:46Z | admin | GetAll | Module | ID: 0 | Sin detalles
